"neighbourhood_group_cleansed","neighbourhood_cleansed","rev_pm","numberoflisting","AvgPricePerBed","avgnoofbeds","avgprice","Revenue_opp_pm"
"Bronx","Allerton",27.88,16,53.0739583333333,2.4375,100.0625,348.7178125
"Bronx","Baychester",14.7,6,69.4166666666667,1.16666666666667,76.6666666666667,375.666666666667
"Bronx","Belmont",5.62,2,37.5,1.5,50,281
"Bronx","Bronxdale",9.63,8,40.375,1.375,50.875,122.4815625
"Bronx","Castle Hill",6.56,1,71,1,71,931.52
"Bronx","City Island",8.66,8,73.6875,1.75,115.875,250.869375
"Bronx","Claremont Village",11.87,11,54.0227272727273,1.45454545454545,66,142.44
"Bronx","Clason Point",12.8,10,49.5,1.6,79.7,204.032
"Bronx","Co-op City",1.47,2,47,1.5,59.5,87.465
"Bronx","Concourse",41.96,25,59.8153333333333,1.76,84.64,284.119552
"Bronx","Concourse Village",6.97,10,61.2,1,61.2,85.3128
"Bronx","East Morrisania",16.32,8,68.25,1.375,87.625,357.51
"Bronx","Eastchester",4.47,10,68.78,1.9,117.4,104.9556
"Bronx","Edenwald",6.91,9,64.0333333333333,2,103.222222222222,158.503456790123
"Bronx","Fieldston",1.39,5,52.0653846153846,4.2,209.6,116.5376
"Bronx","Fordham",10.8,11,51.1666666666667,1.54545454545455,77.5454545454545,152.271074380165
"Bronx","Highbridge",21.07,10,53.2333333333333,1.2,61.9,260.8466
"Bronx","Hunts Point",5.08,14,36.3571428571429,1.35714285714286,46.0714285714286,33.434693877551
"Bronx","Kingsbridge",18.6,21,57.6746031746032,1.33333333333333,71.4761904761905,126.614965986395
"Bronx","Longwood",22.48,22,51.2310606060606,1.59090909090909,68.5909090909091,140.174876033058
"Bronx","Melrose",6.54,3,64.6666666666667,1,64.6666666666667,281.946666666667
"Bronx","Morris Heights",12.96,9,66.2222222222222,1.33333333333333,89.6666666666667,258.24
"Bronx","Morris Park",18.79,11,53.4242424242424,1.27272727272727,71.3636363636364,243.804132231405
"Bronx","Morrisania",10.38,7,35.7619047619048,1.71428571428571,62.8571428571429,186.416326530612
"Bronx","Mott Haven",43.62,21,53.8134920634921,2,101.52380952381,421.758911564626
"Bronx","Mount Eden",0.23,1,150,1,150,69
"Bronx","Mount Hope",9.52,11,62.2727272727273,2,104.090909090909,180.171900826446
"Bronx","North Riverdale",1.49,3,50.6666666666667,2,105.666666666667,104.962222222222
"Bronx","Norwood",11.36,12,66.0972222222222,1.33333333333333,79.0833333333333,149.731111111111
"Bronx","Olinville",2.92,3,76.6666666666667,1.33333333333333,91.6666666666667,178.444444444444
"Bronx","Parkchester",35.43,14,81.9404761904762,1.42857142857143,108.857142857143,550.972653061224
"Bronx","Pelham Bay",3.68,3,127.333333333333,1,127.333333333333,312.391111111111
"Bronx","Pelham Gardens",10.18,9,40.4960317460317,3.55555555555556,137.555555555556,311.181234567901
"Bronx","Port Morris",20.26,16,40.8625,1.25,51.0625,129.31578125
"Bronx","Riverdale",0.07,1,44.1666666666667,6,265,37.1
"Bronx","Schuylerville",17.12,8,42.5208333333333,1.375,54.25,232.19
"Bronx","Soundview",4.66,3,36.4166666666667,2,66.6666666666667,207.111111111111
"Bronx","Spuyten Duyvil",1.28,2,41.125,3,114.5,146.56
"Bronx","Throgs Neck",25.24,12,58.6875,1.41666666666667,77.8333333333333,327.418888888889
"Bronx","Tremont",7.89,6,82.3787878787879,2.83333333333333,148.666666666667,390.993333333333
"Bronx","Unionport",9.61,6,74.1111111111111,3.66666666666667,147.333333333333,471.957777777778
"Bronx","University Heights",3.36,5,29.6,1.4,35.6,47.8464
"Bronx","Van Nest",11.26,5,44.9333333333333,1.4,59.6,268.4384
"Bronx","Wakefield",28.97,26,87.2474358974359,2.03846153846154,161.384615384615,359.639408284024
"Bronx","Westchester Square",4.33,3,63.6666666666667,1,63.6666666666667,183.784444444444
"Bronx","Williamsbridge",44.07,21,69.484126984127,1.61904761904762,85.2380952380952,357.756462585034
"Brooklyn","Bath Beach",14.84,11,49.969696969697,2.54545454545455,94.2727272727273,254.364958677686
"Brooklyn","Bay Ridge",88.22,47,48.1606382978723,2.48936170212766,107.127659574468,402.161792666365
"Brooklyn","Bedford-Stuyvesant",1073.55,818,68.9476280002258,1.88997555012225,114.843520782396,301.443182728463
"Brooklyn","Bensonhurst",40.54,34,52.9176470588235,2.14705882352941,95.3823529411765,227.458858131488
"Brooklyn","Bergen Beach",15.43,8,66.2083333333333,2.375,134.375,518.3515625
"Brooklyn","Boerum Hill",34.48,33,90.0431457431457,3.03030303030303,261.636363636364,546.740716253443
"Brooklyn","Borough Park",37.15,41,50.1869918699187,1.68292682926829,76.1707317073171,138.036228435455
"Brooklyn","Brighton Beach",20.66,23,65.0289855072464,1.95652173913043,102.95652173913,184.963629489603
"Brooklyn","Brooklyn Heights",22.98,17,132.225490196078,2.64705882352941,313.882352941176,848.590173010381
"Brooklyn","Brownsville",34.46,18,49.6276455026455,2.22222222222222,118.166666666667,452.447037037037
"Brooklyn","Bushwick",427.73,383,63.2761811513117,1.59007832898172,95.4177545691906,213.122904239582
"Brooklyn","Canarsie",111.6,72,65.9959490740741,2.11111111111111,112.541666666667,348.879166666667
"Brooklyn","Carroll Gardens",59.9,42,106.22619047619,2.16666666666667,199.619047619048,569.389569160998
"Brooklyn","Clinton Hill",135.47,114,105.460004177109,1.96491228070175,218.035087719298,518.196725146199
"Brooklyn","Cobble Hill",21.55,19,113.245614035088,1.78947368421053,179.789473684211,407.838227146814
"Brooklyn","Columbia St",7.51,7,105.833333333333,1.42857142857143,128.571428571429,275.877551020408
"Brooklyn","Coney Island",15.22,11,57.3636363636364,1.36363636363636,74.4545454545455,206.036033057851
"Brooklyn","Crown Heights",391.96,318,69.901713223883,2.15723270440252,137.415094339623,338.749813694079
"Brooklyn","Cypress Hills",114.46,54,50.333024691358,1.72222222222222,79.7037037037037,337.884663923183
"Brooklyn","Downtown Brooklyn",18.8,8,112.208333333333,1.5,149.125,700.8875
"Brooklyn","DUMBO",14.17,8,98.25,2,183.75,650.934375
"Brooklyn","Dyker Heights",5.26,5,63.6666666666667,2,105,220.92
"Brooklyn","East Flatbush",244.84,201,58.2234067756456,1.78109452736318,92.6517412935323,225.719923764263
"Brooklyn","East New York",158.44,102,52.093137254902,2,93.2647058823529,289.742352941176
"Brooklyn","Flatbush",159.38,132,71.0671792328042,2.01515151515152,115.227272727273,278.256404958678
"Brooklyn","Flatlands",47.25,33,52.9116161616162,2.42424242424242,110.030303030303,315.086776859504
"Brooklyn","Fort Greene",95.02,94,92.6139606551841,2.14893617021277,175.159574468085,354.120484382073
"Brooklyn","Fort Hamilton",13.67,16,73.96875,1.75,109.9375,187.855703125
"Brooklyn","Gowanus",71.37,56,88.8125,1.875,146.125,372.4621875
