"neighbourhood_group_cleansed","neighbourhood_cleansed","Superhost","room_type","accommodates","bathrooms","bedrooms","price","availability_365","reviews_per_month"
"Manhattan","Midtown","Not Superhost","Entire home/apt",2,1,1,0,365,0.35
"Brooklyn","Clinton Hill","Not Superhost","Entire home/apt",3,1,1,3,249,4.99
"Manhattan","Midtown","Not Superhost","Private room",2,1,1,9,343,3.31
"Brooklyn","South Slope","Superhost","Private room",2,1.5,1,3,365,1.27
"Brooklyn","Williamsburg","Not Superhost","Entire home/apt",3,1,1,9,309,1.27
"Manhattan","East Harlem","Not Superhost","Private room",1,1,1,5,365,0
"Manhattan","East Harlem","Not Superhost","Private room",1,1,1,2,365,1.7
"Brooklyn","Fort Greene","Superhost","Entire home/apt",4,1,1,99,337,1.8
"Manhattan","East Harlem","Not Superhost","Private room",1,1,2,6,178,0
"Brooklyn","Bedford-Stuyvesant","Not Superhost","Entire home/apt",5,1,1,20,350,0.87
"Manhattan","Harlem","Not Superhost","Private room",2,1,1,5,365,1.21
"Brooklyn","Bedford-Stuyvesant","Not Superhost","Private room",3,1,1,0,365,0.57
"Brooklyn","South Slope","Superhost","Private room",2,1,1,3,365,1.31
"Manhattan","East Village","Not Superhost","Private room",2,1,1,0,249,1.93
"Manhattan","Harlem","Not Superhost","Entire home/apt",3,1,1,50,364,0.79
"Queens","Long Island City","Not Superhost","Private room",4,1,1,30,256,2.17
"Brooklyn","Bedford-Stuyvesant","Not Superhost","Entire home/apt",2,1,1,9,251,0.51
"Queens","Jamaica","Not Superhost","Private room",4,1,1,5,365,0.51
"Brooklyn","Fort Greene","Superhost","Private room",2,1,1,0,251,1.06
"Brooklyn","Bedford-Stuyvesant","Not Superhost","Private room",2,1,1,1,332,1.09
"Brooklyn","Greenpoint","Superhost","Entire home/apt",2,1,1,9,362,1.32
"Manhattan","Chelsea","Not Superhost","Entire home/apt",4,2,2,75,167,0.08
"Manhattan","Upper East Side","Superhost","Entire home/apt",6,1,2,6,151,0.62
"Brooklyn","Prospect Heights","Superhost","Entire home/apt",8,2,4,0,351,1.2
"Brooklyn","Fort Greene","Not Superhost","Private room",2,1,1,5,336,0.21
"Manhattan","East Village","Superhost","Private room",2,1,1,3,158,4.68
"Brooklyn","Williamsburg","Not Superhost","Entire home/apt",2,1,1,50,362,1.48
"Manhattan","East Village","Not Superhost","Private room",1,1,1,4,343,1.15
"Manhattan","East Harlem","Superhost","Entire home/apt",8,2,4,0,150,1.58
"Manhattan","East Village","Not Superhost","Entire home/apt",2,1,1,50,177,0.4
"Manhattan","Washington Heights","Not Superhost","Private room",2,1,1,5,365,1.2
"Brooklyn","Clinton Hill","Superhost","Private room",2,1,1,5,364,0.96
"Queens","Woodside","Superhost","Private room",2,1,1,0,159,0.16
"Manhattan","Chelsea","Superhost","Private room",3,1.5,1,9,310,1.53
"Brooklyn","Williamsburg","Not Superhost","Private room",4,1,2,45,365,0.48
"Manhattan","Harlem","Superhost","Entire home/apt",3,1,2,10,280,0.45
"Brooklyn","Williamsburg","Not Superhost","Entire home/apt",2,1,1,5,335,0.46
"Brooklyn","Prospect Heights","Superhost","Private room",2,1.5,1,0,365,0.52
"Brooklyn","Bedford-Stuyvesant","Not Superhost","Private room",2,1.5,1,0,282,0.29
"Brooklyn","Clinton Hill","Not Superhost","Private room",3,1,1,8,365,0.19
"Manhattan","Upper West Side","Not Superhost","Entire home/apt",2,1,1,5,365,0.63
"Manhattan","Harlem","Not Superhost","Private room",1,1,1,9,365,0.11
"Manhattan","Chelsea","Not Superhost","Private room",2,1,1,5,364,0.28
"Brooklyn","Carroll Gardens","Not Superhost","Entire home/apt",3,1,2,25,364,1.98
"Manhattan","Harlem","Not Superhost","Entire home/apt",6,2,2,0,358,1.65
"Manhattan","West Village","Superhost","Entire home/apt",5,2,3,59,269,0.47
"Brooklyn","Park Slope","Not Superhost","Entire home/apt",9,3,4,80,365,0.68
"Brooklyn","Bedford-Stuyvesant","Not Superhost","Entire home/apt",6,1,2,10,365,1.31
"Manhattan","Harlem","Not Superhost","Private room",2,1,1,0,364,1.52
"Brooklyn","Gowanus","Not Superhost","Entire home/apt",6,2,3,0,194,0.17
"Brooklyn","Clinton Hill","Not Superhost","Private room",3,1,1,8,267,0.26
"Brooklyn","South Slope","Superhost","Entire home/apt",3,1,1,0,236,3.63
